RA,prova01,prova02,prova03
AL01,6.8,7.1,7.9
AL02,5.6,6.2,6.7
AL03,8.4,7.7,7.7
AL04,8.1,8.2,7.8
AL05,9.2,5.8,5.2
AL06,8.2,10.0,8.8
AL07,7.5,7.3,7.9
AL08,6.8,6.9,6.2
AL09,5.6,6.6,7.2
AL10,7.1,7.1,7.0
AL11,8.2,4.0,3.2
AL12,8.3,3.3,5.9
AL13,8.7,6.8,7.3
AL14,8.1,4.1,3.9
AL15,8.3,5.3,6.0
AL16,6.0,4.0,7.8
AL17,4.7,4.3,4.9
AL18,6.9,4.8,8.9
AL19,5.1,6.1,5.8
AL20,4.0,4.4,4.3
AL21,7.9,8.5,8.5
AL22,6.5,7.6,8.4
AL23,6.1,6.2,7.0
AL24,5.1,1.3,9.1
AL25,4.0,2.9,2.9
AL26,6.5,6.8,9.0
AL27,4.7,5.4,6.0
AL28,6.3,5.8,6.2
AL29,5.3,6.7,7.0
AL30,4.7,4.9,5.4
AL31,5.2,6.5,6.5
AL32,8.4,6.5,9.4
AL33,6.7,6.6,6.3
AL34,4.5,4.8,5.3
AL35,6.6,6.9,8.8
AL36,4.3,3.3,1.9
AL37,6.7,6.5,8.4
AL38,3.8,4.8,4.3
AL39,4.1,5.1,5.3
AL40,9.5,6.8,9.0
AL41,9.9,6.9,6.9
AL42,9.7,4.4,8.3
AL43,8.5,4.1,0.0
AL44,8.5,4.9,8.8
AL45,4.0,4.4,4.0
AL46,4.4,4.7,5.3
AL47,5.6,5.0,10
AL48,7.4,0.5,8.6
AL49,6.4,5.8,6.8
AL50,3.8,5.0,5.9
